Edges in form: from to edge_char

From Node No. - To Node No. - Char on the Edge
================================================
0: 1 - 10 - !
1: 1 - 2 - (
2: 1 - 2 - )
3: 1 - 8 - *
4: 1 - 9 - +
5: 1 - 2 - ,
6: 1 - 9 - -
7: 1 - 8 - /
8: 1 - 7 - 0
9: 1 - 7 - 1
10: 1 - 7 - 2
11: 1 - 7 - 3
12: 1 - 7 - 4
13: 1 - 7 - 5
14: 1 - 7 - 6
15: 1 - 7 - 7
16: 1 - 7 - 8
17: 1 - 7 - 9
18: 1 - 2 - ;
19: 1 - 5 - <
20: 1 - 6 - =
21: 1 - 5 - >
22: 1 - 3 - A
23: 1 - 3 - B
24: 1 - 3 - C
25: 1 - 3 - D
26: 1 - 3 - E
27: 1 - 3 - F
28: 1 - 3 - G
29: 1 - 3 - H
30: 1 - 3 - I
31: 1 - 3 - J
32: 1 - 3 - K
33: 1 - 3 - L
34: 1 - 3 - M
35: 1 - 3 - N
36: 1 - 3 - O
37: 1 - 3 - P
38: 1 - 3 - Q
39: 1 - 3 - R
40: 1 - 3 - S
41: 1 - 3 - T
42: 1 - 3 - U
43: 1 - 3 - V
44: 1 - 3 - W
45: 1 - 3 - X
46: 1 - 3 - Y
47: 1 - 3 - Z
48: 1 - 3 - a
49: 1 - 27 - b
50: 1 - 3 - c
51: 1 - 3 - d
52: 1 - 21 - e
53: 1 - 19 - f
54: 1 - 3 - g
55: 1 - 3 - h
56: 1 - 11 - i
57: 1 - 3 - j
58: 1 - 3 - k
59: 1 - 3 - l
60: 1 - 3 - m
61: 1 - 3 - n
62: 1 - 3 - o
63: 1 - 3 - p
64: 1 - 3 - q
65: 1 - 3 - r
66: 1 - 3 - s
67: 1 - 3 - t
68: 1 - 3 - u
69: 1 - 3 - v
70: 1 - 15 - w
71: 1 - 3 - x
72: 1 - 3 - y
73: 1 - 3 - z
74: 1 - 2 - {
75: 1 - 2 - }
76: 3 - 3 - 0
77: 3 - 3 - 1
78: 3 - 3 - 2
79: 3 - 3 - 3
80: 3 - 3 - 4
81: 3 - 3 - 5
82: 3 - 3 - 6
83: 3 - 3 - 7
84: 3 - 3 - 8
85: 3 - 3 - 9
86: 3 - 3 - A
87: 3 - 3 - B
88: 3 - 3 - C
89: 3 - 3 - D
90: 3 - 3 - E
91: 3 - 3 - F
92: 3 - 3 - G
93: 3 - 3 - H
94: 3 - 3 - I
95: 3 - 3 - J
96: 3 - 3 - K
97: 3 - 3 - L
98: 3 - 3 - M
99: 3 - 3 - N
100: 3 - 3 - O
101: 3 - 3 - P
102: 3 - 3 - Q
103: 3 - 3 - R
104: 3 - 3 - S
105: 3 - 3 - T
106: 3 - 3 - U
107: 3 - 3 - V
108: 3 - 3 - W
109: 3 - 3 - X
110: 3 - 3 - Y
111: 3 - 3 - Z
112: 3 - 3 - a
